,City,Suburb,Sales Q1 2022,Median Q1 2022,Sales Q1 2023,Median Q1 2023,Median Change
0,ADELAIDE,ADELAIDE,2,1266250,2,1205000,-0.05
1,ADELAIDE,NORTH ADELAIDE,4,1617500,5,1850000,0.14
2,ADELAIDE HILLS,ALDGATE,6,870000,13,1110000,0.28
3,ADELAIDE HILLS,ASHTON,0,0,0,0,0.0
4,ADELAIDE HILLS,BASKET RANGE,0,0,0,0,0.0
5,ADELAIDE HILLS,BELAIR,16,1110000,9,910000,-0.18
6,ADELAIDE HILLS,BRADBURY,0,0,1,947000,0.0
7,ADELAIDE HILLS,BRIDGEWATER,19,722000,18,835000,0.16
8,ADELAIDE HILLS,CAREY GULLY,1,1450000,0,0,0.0
9,ADELAIDE HILLS,CASTAMBUL,0,0,0,0,0.0
10,ADELAIDE HILLS,CHERRYVILLE,0,0,0,0,0.0
11,ADELAIDE HILLS,CLELAND,0,0,0,0,0.0
12,ADELAIDE HILLS,CRAFERS,6,1172500,5,1300000,0.11
13,ADELAIDE HILLS,CRAFERS WEST,4,725000,7,950000,0.31
14,ADELAIDE HILLS,DORSET VALE,0,0,0,0,0.0
15,ADELAIDE HILLS,GREENHILL,1,897000,0,0,0.0
16,ADELAIDE HILLS,HEATHFIELD,0,0,3,990000,0.0
17,ADELAIDE HILLS,HORSNELL GULLY,0,0,0,0,0.0
18,ADELAIDE HILLS,HUMBUG SCRUB,0,0,0,0,0.0
19,ADELAIDE HILLS,IRONBANK,0,0,0,0,0.0
20,ADELAIDE HILLS,LONGWOOD,0,0,0,0,0.0
21,ADELAIDE HILLS,MARBLE HILL,0,0,0,0,0.0
22,ADELAIDE HILLS,MONTACUTE,0,0,0,0,0.0
23,ADELAIDE HILLS,MOUNT GEORGE,1,700000,1,908000,0.3
24,ADELAIDE HILLS,MYLOR,2,720000,0,0,0.0
25,ADELAIDE HILLS,NORTON SUMMIT,0,0,0,0,0.0
26,ADELAIDE HILLS,PICCADILLY,0,0,0,0,0.0
27,ADELAIDE HILLS,ROSTREVOR,38,840000,21,860000,0.02
28,ADELAIDE HILLS,SCOTT CREEK,0,0,0,0,0.0
29,ADELAIDE HILLS,STIRLING,12,1395000,14,1200000,-0.14
30,ADELAIDE HILLS,STONYFELL,8,1350000,6,1420000,0.05
31,ADELAIDE HILLS,SUMMERTOWN,1,860000,0,0,0.0
32,ADELAIDE HILLS,TERINGIE,3,1305000,1,1650000,0.26
33,ADELAIDE HILLS,UPPER STURT,0,0,2,747500,0.0
34,ADELAIDE HILLS,URAIDLA,0,0,0,0,0.0
35,ADELAIDE HILLS,WATERFALL GULLY,0,0,0,0,0.0
36,ADELAIDE HILLS,WOODFORDE,2,1070000,1,1240000,0.16
37,BURNSIDE,AULDANA,2,1650000,3,1720000,0.04
38,BURNSIDE,BEAUMONT,15,1911000,7,1387500,-0.27
39,BURNSIDE,BEULAH PARK,7,1420000,9,1350000,-0.05
40,BURNSIDE,BURNSIDE,7,1470000,8,1460000,-0.01
41,BURNSIDE,DULWICH,1,1521000,1,2000000,0.31
42,BURNSIDE,EASTWOOD,5,1200000,0,0,0.0
43,BURNSIDE,ERINDALE,5,2100000,6,1525000,-0.27
44,BURNSIDE,FREWVILLE,2,1668000,2,1325500,-0.21
45,BURNSIDE,GLEN OSMOND,8,1780000,11,1256000,-0.29
46,BURNSIDE,GLENSIDE,4,1810000,6,1350000,-0.25
47,BURNSIDE,GLENUNGA,8,1918500,4,1705000,-0.11
48,BURNSIDE,HAZELWOOD PARK,9,1510000,3,1358500,-0.1
49,BURNSIDE,HORSNELL GULLY,0,0,0,0,0.0
50,BURNSIDE,KENSINGTON GARDENS,8,1800000,3,1225000,-0.32
51,BURNSIDE,KENSINGTON PARK,2,2750000,8,1298888,-0.53
52,BURNSIDE,LEABROOK,5,2225000,2,4502500,1.02
53,BURNSIDE,LEAWOOD GARDENS,0,0,0,0,0.0
54,BURNSIDE,LINDEN PARK,7,1575500,3,1200000,-0.24
55,BURNSIDE,MAGILL,35,910000,24,915000,0.01
56,BURNSIDE,MOUNT OSMOND,1,920000,3,1150000,0.25
57,BURNSIDE,ROSE PARK,0,0,2,1880000,0.0
58,BURNSIDE,ROSSLYN PARK,1,1550000,4,1251750,-0.19
59,BURNSIDE,SKYE,0,0,1,1530000,0.0
60,BURNSIDE,ST GEORGES,4,2190000,5,1740000,-0.21
61,BURNSIDE,STONYFELL,8,1350000,6,1420000,0.05
62,BURNSIDE,TOORAK GARDENS,12,2399999,4,2180000,-0.09
63,BURNSIDE,TUSMORE,2,1815000,4,1320000,-0.27
64,BURNSIDE,WATERFALL GULLY,0,0,0,0,0.0
65,BURNSIDE,WATTLE PARK,13,1342500,7,1215000,-0.09
66,CAMPBELLTOWN,ATHELSTONE,36,750000,31,758500,0.01
67,CAMPBELLTOWN,CAMPBELLTOWN,28,798000,22,723000,-0.09
68,CAMPBELLTOWN,HECTORVILLE,7,763500,9,955000,0.25
69,CAMPBELLTOWN,MAGILL,35,910000,24,915000,0.01
70,CAMPBELLTOWN,NEWTON,14,777500,11,880000,0.13
71,CAMPBELLTOWN,PARADISE,21,715000,18,747500,0.05
72,CAMPBELLTOWN,ROSTREVOR,38,840000,21,860000,0.02
73,CAMPBELLTOWN,TRANMERE,17,912500,12,890000,-0.02
74,CHARLES STURT,ALBERT PARK,12,648000,4,632500,-0.02
75,CHARLES STURT,ALLENBY GARDENS,6,1068500,4,860000,-0.2
76,CHARLES STURT,ATHOL PARK,5,600000,5,600000,0.0
77,CHARLES STURT,BEVERLEY,8,712500,5,740000,0.04
78,CHARLES STURT,BOWDEN,3,970000,0,0,0.0
79,CHARLES STURT,BROMPTON,11,734000,9,790000,0.08
80,CHARLES STURT,CHELTENHAM,8,705000,3,877500,0.24
81,CHARLES STURT,CROYDON,3,1368750,4,1155500,-0.16
82,CHARLES STURT,DEVON PARK,3,908000,2,613500,-0.32
83,CHARLES STURT,FINDON,14,700000,18,752500,0.08
84,CHARLES STURT,FLINDERS PARK,14,776500,10,852000,0.1
85,CHARLES STURT,FULHAM GARDENS,18,1123000,17,1025000,-0.09
86,CHARLES STURT,GRANGE,21,970000,16,1186250,0.22
87,CHARLES STURT,HENDON,7,517000,6,612500,0.18
88,CHARLES STURT,HENLEY BEACH,17,1393000,9,1550000,0.11
89,CHARLES STURT,HENLEY BEACH SOUTH,6,1385000,11,1225000,-0.12
90,CHARLES STURT,HINDMARSH,2,537500,0,0,0.0
91,CHARLES STURT,KIDMAN PARK,6,851500,12,891000,0.05
92,CHARLES STURT,KILKENNY,5,780000,9,671000,-0.14
93,CHARLES STURT,OVINGHAM,1,685000,1,825000,0.2
94,CHARLES STURT,PENNINGTON,15,575500,4,860000,0.49
95,CHARLES STURT,RENOWN PARK,7,720000,4,663750,-0.08
96,CHARLES STURT,RIDLEYTON,0,0,2,813750,0.0
97,CHARLES STURT,ROSEWATER,22,507500,8,457000,-0.1
98,CHARLES STURT,ROYAL PARK,13,650000,14,590000,-0.09
99,CHARLES STURT,SEATON,27,760000,18,735000,-0.03
100,CHARLES STURT,SEMAPHORE PARK,13,813000,9,777000,-0.04
101,CHARLES STURT,ST CLAIR,7,951000,2,891500,-0.06
102,CHARLES STURT,TENNYSON,2,1810000,2,1906000,0.05
103,CHARLES STURT,WELLAND,2,1030000,1,820000,-0.2
104,CHARLES STURT,WEST BEACH,17,1020000,23,1230000,0.21
105,CHARLES STURT,WEST CROYDON,9,909000,16,852000,-0.06
106,CHARLES STURT,WEST HINDMARSH,8,835000,4,875000,0.05
107,CHARLES STURT,WEST LAKES,24,1080000,11,955000,-0.12
108,CHARLES STURT,WEST LAKES SHORE,8,1034000,4,978000,-0.05
109,CHARLES STURT,WOODVILLE,4,1080000,6,987500,-0.09
110,CHARLES STURT,WOODVILLE NORTH,6,685000,3,594000,-0.13
111,CHARLES STURT,WOODVILLE PARK,6,838000,3,622500,-0.26
112,CHARLES STURT,WOODVILLE SOUTH,6,739000,10,840000,0.14
113,CHARLES STURT,WOODVILLE WEST,10,710000,7,680000,-0.04
114,GAWLER,BIBARINGA,0,0,0,0,0.0
115,GAWLER,EVANSTON,12,383000,10,452500,0.18
116,GAWLER,EVANSTON GARDENS,19,390000,22,461000,0.18
117,GAWLER,EVANSTON PARK,16,435000,22,520000,0.2
118,GAWLER,EVANSTON SOUTH,6,470000,5,472500,0.01
119,GAWLER,GAWLER,0,0,1,600000,0.0
120,GAWLER,GAWLER EAST,28,490000,24,450000,-0.08
121,GAWLER,GAWLER SOUTH,11,420000,7,419000,-0.0
122,GAWLER,GAWLER WEST,3,455000,4,354000,-0.22
123,GAWLER,HILLIER,0,0,0,0,0.0
124,GAWLER,KUDLA,0,0,0,0,0.0
125,GAWLER,REID,1,450000,1,715000,0.59
126,GAWLER,ULEYBURY,0,0,0,0,0.0
127,GAWLER,WILLASTON,22,441000,12,495000,0.12
128,HOLDFAST BAY,BRIGHTON,11,1200000,4,1437500,0.2
129,HOLDFAST BAY,GLENELG,3,2510000,0,0,0.0
130,HOLDFAST BAY,GLENELG EAST,9,987000,9,1585000,0.61
131,HOLDFAST BAY,GLENELG NORTH,24,990000,6,1220000,0.23
132,HOLDFAST BAY,GLENELG SOUTH,3,1675000,2,2075000,0.24
133,HOLDFAST BAY,HOVE,3,1011000,7,1135000,0.12
134,HOLDFAST BAY,KINGSTON PARK,2,1207500,3,1790000,0.48
